date,feature_index,NO2
2023-07-15T00:00:00.000Z,0,3.691998548068417E-5
2023-07-14T00:00:00.000Z,0,7.87106159805262E-6
2023-07-19T00:00:00.000Z,0,2.77952409912056E-5
2023-07-20T00:00:00.000Z,0,4.027633409956858E-5
2023-07-16T00:00:00.000Z,0,3.170122872688808E-5
2023-08-28T00:00:00.000Z,0,3.084405276846761E-5
2023-08-30T00:00:00.000Z,0,3.029703839274589E-5
2023-08-24T00:00:00.000Z,0,3.90037669906936E-5
2023-08-23T00:00:00.000Z,0,3.479610131762456E-5
2023-08-27T00:00:00.000Z,0,3.701276145875454E-5
2023-08-29T00:00:00.000Z,0,3.591519210507007E-5
2023-08-25T00:00:00.000Z,0,3.077937102110203E-5
2023-08-26T00:00:00.000Z,0,
2022-03-28T00:00:00.000Z,0,3.7035459172329865E-5
2022-03-27T00:00:00.000Z,0,
2022-03-21T00:00:00.000Z,0,
2022-03-22T00:00:00.000Z,0,
2022-03-26T00:00:00.000Z,0,
2022-03-25T00:00:00.000Z,0,4.3312437507362724E-5
2022-03-24T00:00:00.000Z,0,
2022-03-23T00:00:00.000Z,0,
2022-04-15T00:00:00.000Z,0,2.9273518066474935E-5
2022-04-17T00:00:00.000Z,0,
2022-04-19T00:00:00.000Z,0,
2022-04-21T00:00:00.000Z,0,
2022-04-16T00:00:00.000Z,0,1.6435966244898736E-5
2022-04-14T00:00:00.000Z,0,4.0256815130608935E-5
2022-04-20T00:00:00.000Z,0,
2022-04-18T00:00:00.000Z,0,
2022-09-11T00:00:00.000Z,0,2.1672502953151707E-5
2022-09-12T00:00:00.000Z,0,2.1694035391798632E-5
2022-09-07T00:00:00.000Z,0,3.1549491723126266E-5
2022-09-08T00:00:00.000Z,0,
2022-09-05T00:00:00.000Z,0,2.6485032625108335E-5
2022-09-10T00:00:00.000Z,0,4.195157998765353E-5
2022-09-06T00:00:00.000Z,0,3.302668998609685E-5
2022-09-09T00:00:00.000Z,0,
2023-05-26T00:00:00.000Z,0,3.06465935864253E-5
2023-05-25T00:00:00.000Z,0,2.6146701505543508E-5
2023-05-24T00:00:00.000Z,0,2.643879785561391E-5
